id,device_id,ts,activity,pp1,pp2,pp3,,action,power,power2,running
79226,3433,2024-05-17T20:51:04,running,,,,,,,43,true
79228,3433,2024-05-17T20:51:19,running,,,,,,,39,true
79230,3433,2024-05-17T20:51:35,running,,,,,,,53,true
79232,3433,2024-05-17T20:51:50,running,,,,,,,50,true
79234,3433,2024-05-17T20:52:05,running,,,,,,,42,true
79236,3433,2024-05-17T20:52:21,running,,,,,,,47,true
79238,3433,2024-05-17T20:52:36,running,,,,,,,39,true
79240,3433,2024-05-17T20:52:51,running,,,,,,,47,true
79242,3433,2024-05-17T20:53:06,running,,,,,,,48,true
79244,3433,2024-05-17T20:53:22,running,,,,,,,57,true
79246,3433,2024-05-17T20:53:37,running,,,,,,,40,true
79248,3433,2024-05-17T20:53:52,running,,,,,,,51,true
79250,3433,2024-05-17T20:54:08,running,,,,,,,45,true
79252,3433,2024-05-17T20:54:23,running,,,,,,,46,true
79254,3433,2024-05-17T20:54:38,running,,,,,,,43,true
79256,3433,2024-05-17T20:54:53,running,,,,,,,42,true
79258,3433,2024-05-17T20:55:09,running,,,,,,,39,true
79260,3433,2024-05-17T20:55:24,running,,,,,,,42,true
79262,3433,2024-05-17T20:55:39,running,,,,,,,51,true
79264,3433,2024-05-17T20:55:54,running,,,,,,,43,true
79266,3433,2024-05-17T20:56:10,running,,,,,,,49,true
79268,3433,2024-05-17T20:56:25,running,,,,,,,41,true
79270,3433,2024-05-17T20:56:40,running,,,,,,,65,true
79272,3433,2024-05-17T20:56:56,running,,,,,,,45,true
79274,3433,2024-05-17T20:57:11,running,,,,,,,160,true
79276,3433,2024-05-17T20:57:26,running,,,,,,,40,true
79278,3433,2024-05-17T20:57:41,running,,,,,,,39,true
79280,3433,2024-05-17T20:57:57,running,,,,,,,62,true
79282,3433,2024-05-17T20:58:12,running,,,,,,,46,true
79284,3433,2024-05-17T20:58:27,running,,,,,,,50,true
79286,3433,2024-05-17T20:58:42,running,,,,,,,41,true
79288,3433,2024-05-17T20:58:58,running,,,,,,,46,true
79290,3433,2024-05-17T20:59:13,running,,,,,,,45,true
79292,3433,2024-05-17T20:59:28,running,,,,,,,47,true
79294,3433,2024-05-17T20:59:44,running,,,,,,,43,true
79296,3433,2024-05-17T20:59:59,running,,,,,,,34,true
79298,3433,2024-05-17T21:00:14,running,,,,,,,48,true
79300,3433,2024-05-17T21:00:29,running,,,,,,,51,true
79302,3433,2024-05-17T21:00:45,running,,,,,,,42,true
79304,3433,2024-05-17T21:01:00,running,,,,,,,48,true
79306,3433,2024-05-17T21:01:16,running,,,,,,,37,true
79308,3433,2024-05-17T21:01:31,running,,,,,,,56,true
79310,3433,2024-05-17T21:01:46,running,,,,,,,48,true
79312,3433,2024-05-17T21:02:02,running,,,,,,,52,true
79314,3433,2024-05-17T21:02:17,running,,,,,,,47,true
79316,3433,2024-05-17T21:02:32,running,,,,,,,106,true
79318,3433,2024-05-17T21:02:47,running,,,,,,,44,true
79320,3433,2024-05-17T21:03:03,running,,,,,,,191,true
79322,3433,2024-05-17T21:03:18,running,,,,,,,39,true
79324,3433,2024-05-17T21:03:33,running,,,,,,,140,true
79326,3433,2024-05-17T21:03:48,running,,,,,,,48,true
79328,3433,2024-05-17T21:04:04,running,,,,,,,128,true
79330,3433,2024-05-17T21:04:19,running,,,,,,,51,true
79332,3433,2024-05-17T21:04:34,running,,,,,,,53,true
79334,3433,2024-05-17T21:04:50,running,,,,,,,52,true
79336,3433,2024-05-17T21:05:05,running,,,,,,,45,true
79338,3433,2024-05-17T21:05:20,running,,,,,,,47,true
79340,3433,2024-05-17T21:05:35,running,,,,,,,42,true
79342,3433,2024-05-17T21:05:51,running,,,,,,,51,true
79344,3433,2024-05-17T21:06:06,running,,,,,,,51,true
79346,3433,2024-05-17T21:06:21,running,,,,,,,41,true
79348,3433,2024-05-17T21:06:37,running,,,,,,,49,true
79350,3433,2024-05-17T21:06:52,running,,,,,,,47,true
79352,3433,2024-05-17T21:07:07,running,,,,,,,40,true
79354,3433,2024-05-17T21:07:22,running,,,,,,,44,true
79356,3433,2024-05-17T21:07:38,running,,,,,,,43,true
79358,3433,2024-05-17T21:07:53,running,,,,,,,40,true
79360,3433,2024-05-17T21:08:08,running,,,,,,,59,true
79362,3433,2024-05-17T21:08:24,running,,,,,,,51,true
79364,3433,2024-05-17T21:08:39,running,,,,,,,38,true
79366,3433,2024-05-17T21:08:54,running,,,,,,,50,true
79368,3433,2024-05-17T21:09:09,running,,,,,,,45,true
79370,3433,2024-05-17T21:09:25,running,,,,,,,46,true
79372,3433,2024-05-17T21:09:40,running,,,,,,,39,true
79374,3433,2024-05-17T21:09:55,running,,,,,,,48,true
79376,3433,2024-05-17T21:10:10,running,,,,,,,54,true
79378,3433,2024-05-17T21:10:26,running,,,,,,,110,true
79380,3433,2024-05-17T21:10:41,running,,,,,,,50,true
79382,3433,2024-05-17T21:10:56,running,,,,,,,167,true
79384,3433,2024-05-17T21:11:12,running,,,,,,,47,true
79386,3433,2024-05-17T21:11:27,running,,,,,,,175,true
79388,3433,2024-05-17T21:11:42,running,,,,,,,47,true
79390,3433,2024-05-17T21:11:57,running,,,,,,,43,true
79392,3433,2024-05-17T21:12:13,running,,,,,,,51,true
79394,3433,2024-05-17T21:12:28,running,,,,,,,45,true
79396,3433,2024-05-17T21:12:43,running,,,,,,,47,true
79398,3433,2024-05-17T21:12:58,running,,,,,,,34,true
79400,3433,2024-05-17T21:13:14,running,,,,,,,50,true
79402,3433,2024-05-17T21:13:29,running,,,,,,,44,true
79404,3433,2024-05-17T21:13:44,running,,,,,,,66,true
79406,3433,2024-05-17T21:14:00,running,,,,,,,45,true
79408,3433,2024-05-17T21:14:15,running,,,,,,,191,true
79410,3433,2024-05-17T21:14:30,running,,,,,,,37,true
79412,3433,2024-05-17T21:14:45,running,,,,,,,46,true
79414,3433,2024-05-17T21:15:01,running,,,,,,,40,true
79416,3433,2024-05-17T21:15:16,running,,,,,,,44,true
79418,3433,2024-05-17T21:15:31,running,,,,,,,38,true
79420,3433,2024-05-17T21:15:47,running,,,,,,,37,true
79422,3433,2024-05-17T21:16:02,running,,,,,,,45,true
79424,3433,2024-05-17T21:16:17,running,,,,,,,112,true
79426,3433,2024-05-17T21:16:32,running,,,,,,,43,true
79428,3433,2024-05-17T21:16:48,running,,,,,,,40,true
79430,3433,2024-05-17T21:17:03,running,,,,,,,39,true
79432,3433,2024-05-17T21:17:18,running,,,,,,,43,true
79434,3433,2024-05-17T21:17:33,running,,,,,,,36,true
79436,3433,2024-05-17T21:17:49,running,,,,,,,82,true
79438,3433,2024-05-17T21:18:04,running,,,,,,,41,true
79440,3433,2024-05-17T21:18:19,running,,,,,,,45,true
79442,3433,2024-05-17T21:18:35,running,,,,,,,41,true
79444,3433,2024-05-17T21:18:50,running,,,,,,,44,true
79446,3433,2024-05-17T21:19:05,running,,,,,,,40,true
79448,3433,2024-05-17T21:19:20,running,,,,,,,48,true
79450,3433,2024-05-17T21:19:36,running,,,,,,,41,true
79452,3433,2024-05-17T21:19:51,running,,,,,,,50,true
79454,3433,2024-05-17T21:20:06,running,,,,,,,34,true
79456,3433,2024-05-17T21:20:21,running,,,,,,,42,true
79458,3433,2024-05-17T21:20:37,running,,,,,,,38,true
79460,3433,2024-05-17T21:20:52,running,,,,,,,43,true
79462,3433,2024-05-17T21:21:07,running,,,,,,,52,true
79464,3433,2024-05-17T21:21:23,running,,,,,,,46,true
79466,3433,2024-05-17T21:21:38,running,,,,,,,45,true
79468,3433,2024-05-17T21:21:54,running,,,,,,,39,true
79470,3433,2024-05-17T21:22:09,running,,,,,,,61,true
